At time 0.29: Service-1 Finished, Queue 1 Length: 1000, Queue 2 Length: 0
At time 0.34: Arrival, Queue 1 Length: 999, Queue 2 Length: 1
At time 0.36: Service-1 Finished, Queue 1 Length: 1000, Queue 2 Length: 1
At time 0.37: Service-1 Finished, Queue 1 Length: 999, Queue 2 Length: 2
At time 0.47: Service-1 Finished, Queue 1 Length: 998, Queue 2 Length: 3
At time 0.54: Arrival, Queue 1 Length: 997, Queue 2 Length: 4
At time 0.54: Arrival, Queue 1 Length: 998, Queue 2 Length: 4
At time 0.68: Arrival, Queue 1 Length: 999, Queue 2 Length: 4
At time 0.72: Arrival, Queue 1 Length: 1000, Queue 2 Length: 4
At time 0.81: Arrival, Queue 1 Length: 1001, Queue 2 Length: 4
At time 1.02: Arrival, Queue 1 Length: 1002, Queue 2 Length: 4
At time 1.33: Service-2 Finished, Queue 1 Length: 1003, Queue 2 Length: 4
At time 1.39: Service-1 Finished, Queue 1 Length: 1003, Queue 2 Length: 3
At time 1.43: Service-1 Finished, Queue 1 Length: 1002, Queue 2 Length: 4
At time 1.57: Arrival, Queue 1 Length: 1001, Queue 2 Length: 5
At time 1.62: Arrival, Queue 1 Length: 1002, Queue 2 Length: 5
At time 1.64: Service-2 Finished, Queue 1 Length: 1003, Queue 2 Length: 5
At time 1.64: Arrival, Queue 1 Length: 1003, Queue 2 Length: 4
At time 1.65: Service-2 Finished, Queue 1 Length: 1004, Queue 2 Length: 4
At time 1.75: Arrival, Queue 1 Length: 1004, Queue 2 Length: 3
At time 1.86: Service-2 Finished, Queue 1 Length: 1005, Queue 2 Length: 3
At time 1.93: Arrival, Queue 1 Length: 1005, Queue 2 Length: 2
At time 1.99: Service-1 Finished, Queue 1 Length: 1006, Queue 2 Length: 2
At time 1.99: Service-1 Finished, Queue 1 Length: 1005, Queue 2 Length: 3
At time 2.17: Service-1 Finished, Queue 1 Length: 1004, Queue 2 Length: 4
At time 2.22: Service-2 Finished, Queue 1 Length: 1003, Queue 2 Length: 5
At time 2.32: Service-2 Finished, Queue 1 Length: 1003, Queue 2 Length: 4
At time 2.40: Service-2 Finished, Queue 1 Length: 1003, Queue 2 Length: 3
At time 2.45: Service-2 Finished, Queue 1 Length: 1003, Queue 2 Length: 2
At time 2.59: Service-2 Finished, Queue 1 Length: 1003, Queue 2 Length: 1
At time 2.68: Service-1 Finished, Queue 1 Length: 1003, Queue 2 Length: 0
At time 3.06: Service-1 Finished, Queue 1 Length: 1002, Queue 2 Length: 1
At time 3.24: Arrival, Queue 1 Length: 1001, Queue 2 Length: 2
At time 3.26: Service-2 Finished, Queue 1 Length: 1002, Queue 2 Length: 2
At time 3.35: Service-1 Finished, Queue 1 Length: 1002, Queue 2 Length: 1
At time 3.50: Service-2 Finished, Queue 1 Length: 1001, Queue 2 Length: 2
At time 3.67: Service-2 Finished, Queue 1 Length: 1001, Queue 2 Length: 1
At time 3.77: Service-1 Finished, Queue 1 Length: 1001, Queue 2 Length: 0
At time 3.90: Service-2 Finished, Queue 1 Length: 1000, Queue 2 Length: 1
At time 3.96: Arrival, Queue 1 Length: 1000, Queue 2 Length: 0
At time 4.24: Arrival, Queue 1 Length: 1001, Queue 2 Length: 0
At time 4.35: Arrival, Queue 1 Length: 1002, Queue 2 Length: 0
At time 4.47: Arrival, Queue 1 Length: 1003, Queue 2 Length: 0
At time 4.62: Arrival, Queue 1 Length: 1004, Queue 2 Length: 0
At time 4.64: Arrival, Queue 1 Length: 1005, Queue 2 Length: 0
At time 4.66: Arrival, Queue 1 Length: 1006, Queue 2 Length: 0
At time 4.67: Arrival, Queue 1 Length: 1007, Queue 2 Length: 0
At time 4.70: Arrival, Queue 1 Length: 1008, Queue 2 Length: 0
At time 4.73: Arrival, Queue 1 Length: 1009, Queue 2 Length: 0
At time 4.74: Arrival, Queue 1 Length: 1010, Queue 2 Length: 0
At time 5.12: Arrival, Queue 1 Length: 1011, Queue 2 Length: 0
At time 5.17: Arrival, Queue 1 Length: 1012, Queue 2 Length: 0
At time 5.31: Arrival, Queue 1 Length: 1013, Queue 2 Length: 0
At time 5.50: Service-1 Finished, Queue 1 Length: 1014, Queue 2 Length: 0
At time 5.55: Arrival, Queue 1 Length: 1013, Queue 2 Length: 1
At time 5.61: Service-1 Finished, Queue 1 Length: 1014, Queue 2 Length: 1
At time 5.75: Service-1 Finished, Queue 1 Length: 1013, Queue 2 Length: 2
At time 5.78: Arrival, Queue 1 Length: 1012, Queue 2 Length: 3
At time 5.87: Service-1 Finished, Queue 1 Length: 1013, Queue 2 Length: 3
At time 5.91: Service-1 Finished, Queue 1 Length: 1012, Queue 2 Length: 4
At time 5.97: Service-2 Finished, Queue 1 Length: 1011, Queue 2 Length: 5
