lambda: 1, mu1: 2, mu2: 3, T: 10, Average customers: 0.6785714285714287
lambda: 1, mu1: 2, mu2: 3, T: 50, Average customers: 0.6689189189189192
lambda: 1, mu1: 2, mu2: 3, T: 100, Average customers: 0.6677852348993288
lambda: 1, mu1: 2, mu2: 3, T: 1000, Average customers: 0.6667778519012677
lambda: 1, mu1: 2, mu2: 4, T: 10, Average customers: 0.6785714285714287
lambda: 1, mu1: 2, mu2: 4, T: 50, Average customers: 0.6689189189189192
lambda: 1, mu1: 2, mu2: 4, T: 100, Average customers: 0.6677852348993288
lambda: 1, mu1: 2, mu2: 4, T: 1000, Average customers: 0.6667778519012677
lambda: 1, mu1: 4, mu2: 3, T: 10, Average customers: 0.6785714285714287
lambda: 1, mu1: 4, mu2: 3, T: 50, Average customers: 0.6689189189189192
lambda: 1, mu1: 4, mu2: 3, T: 100, Average customers: 0.6677852348993288
lambda: 1, mu1: 4, mu2: 3, T: 1000, Average customers: 0.6667778519012677
lambda: 1, mu1: 4, mu2: 4, T: 10, Average customers: 0.6785714285714287
lambda: 1, mu1: 4, mu2: 4, T: 50, Average customers: 0.6689189189189192
lambda: 1, mu1: 4, mu2: 4, T: 100, Average customers: 0.6677852348993288
lambda: 1, mu1: 4, mu2: 4, T: 1000, Average customers: 0.6667778519012677
lambda: 5, mu1: 2, mu2: 3, T: 10, Average customers: 0.6785714285714287
lambda: 5, mu1: 2, mu2: 3, T: 50, Average customers: 0.6689189189189192
lambda: 5, mu1: 2, mu2: 3, T: 100, Average customers: 0.6677852348993288
lambda: 5, mu1: 2, mu2: 3, T: 1000, Average customers: 0.6667778519012677
lambda: 5, mu1: 2, mu2: 4, T: 10, Average customers: 0.6785714285714287
lambda: 5, mu1: 2, mu2: 4, T: 50, Average customers: 0.6689189189189192
lambda: 5, mu1: 2, mu2: 4, T: 100, Average customers: 0.6677852348993288
lambda: 5, mu1: 2, mu2: 4, T: 1000, Average customers: 0.6667778519012677
lambda: 5, mu1: 4, mu2: 3, T: 10, Average customers: 0.6785714285714287
lambda: 5, mu1: 4, mu2: 3, T: 50, Average customers: 0.6689189189189192
lambda: 5, mu1: 4, mu2: 3, T: 100, Average customers: 0.6677852348993288
lambda: 5, mu1: 4, mu2: 3, T: 1000, Average customers: 0.6667778519012677
lambda: 5, mu1: 4, mu2: 4, T: 10, Average customers: 0.6785714285714287
lambda: 5, mu1: 4, mu2: 4, T: 50, Average customers: 0.6689189189189192
lambda: 5, mu1: 4, mu2: 4, T: 100, Average customers: 0.6677852348993288
lambda: 5, mu1: 4, mu2: 4, T: 1000, Average customers: 0.6667778519012677
